tsic,size12,big_n
"4711",1,416905.0000
"4719",1,100112.0000
"4721",1,37528.0000
"4722",1,6187.0000
"4723",1,67.0000
"4741",1,18127.0000
"4742",1,1622.0000
"4751",1,4766.0000
"4752",1,21432.0000
"4753",1,1202.0000
"4759",1,26640.0000
"4761",1,6186.0000
"4762",1,213.0000
"4763",1,6189.0000
"4764",1,2338.0000
"4769",1,11317.0000
"4771",1,43603.0000
"4772",1,27552.0000
"4773",1,58916.0000
"4774",1,5936.0000
"4791",1,1640.0000
"4799",1,421.0000
"5510",1,20173.0000
"5520",1,25.0000
"5590",1,3925.0000
"5610",1,290001.0000
"5621",1,791.0000
"5629",1,90.0000
"5630",1,60188.0000
"5911",1,152.0000
"5912",1,42.0000
"5913",1,5.0000
"5914",1,141.0000
"5920",1,43.0000
"6010",1,1282.0000
"6020",1,21.0000
"6391",1,15.0000
"7721",1,187.0000
"7722",1,77.0000
"7729",1,5891.0000
"7810",1,9.0000
"9000",1,6303.0000
"9200",1,1992.0000
"9311",1,3351.0000
"9312",1,36.0000
"9319",1,359.0000
"9321",1,68.0000
"9329",1,3553.0000
"9521",1,6555.0000
"9522",1,8038.0000
"9523",1,653.0000
"9524",1,247.0000
"9529",1,13748.0000
"9610",1,134763.0000
"9620",1,37106.0000
"9630",1,17588.0000
"4711",2,9221.0000
"4719",2,1744.0000
"4721",2,1389.0000
"4722",2,190.0000
"4723",2,4.0000
"4741",2,1554.0000
"4742",2,104.0000
"4751",2,155.0000
"4752",2,6039.0000
"4753",2,55.0000
"4759",2,2864.0000
"4761",2,581.0000
"4762",2,5.0000
"4763",2,261.0000
"4764",2,36.0000
"4769",2,155.0000
"4771",2,702.0000
"4772",2,1134.0000
"4773",2,2705.0000
"4774",2,151.0000
"4791",2,64.0000
"4799",2,78.0000
"5510",2,4533.0000
"5520",2,2.0000
"5590",2,90.0000
"5610",2,16000.0000
"5621",2,587.0000
"5629",2,12.0000
"5630",2,2204.0000
"5911",2,114.0000
"5912",2,12.0000
"5913",2,4.0000
"5914",2,51.0000
"5920",2,6.0000
"6010",2,69.0000
"6020",2,9.0000
"6391",2,3.0000
"7721",2,16.0000
"7729",2,177.0000
"7810",2,4.0000
"9000",2,969.0000
"9200",2,13.0000
"9311",2,398.0000
"9312",2,8.0000
"9319",2,39.0000
"9321",2,23.0000
"9329",2,73.0000
"9521",2,43.0000
"9522",2,151.0000
"9523",2,14.0000
"9524",2,9.0000
"9529",2,29.0000
"9610",2,2177.0000
"9620",2,176.0000
"9630",2,162.0000
"4711",3,5826.0000
"4719",3,464.0000
"4721",3,301.0000
"4722",3,30.0000
"4723",3,1.0000
"4741",3,258.0000
"4742",3,15.0000
"4751",3,32.0000
"4752",3,1255.0000
"4753",3,16.0000
"4759",3,598.0000
"4761",3,125.0000
"4762",3,1.0000
"4763",3,53.0000
"4764",3,9.0000
"4769",3,30.0000
"4771",3,108.0000
"4772",3,208.0000
"4773",3,379.0000
"4774",3,34.0000
"4791",3,29.0000
"4799",3,29.0000
"5510",3,1334.0000
"5520",3,3.0000
"5590",3,37.0000
"5610",3,3107.0000
"5621",3,189.0000
"5629",3,5.0000
"5630",3,267.0000
"5911",3,27.0000
"5912",3,4.0000
"5913",3,2.0000
"5914",3,28.0000
"5920",3,2.0000
"6010",3,27.0000
"6020",3,3.0000
"6391",3,3.0000
"7721",3,4.0000
"7722",3,1.0000
"7729",3,24.0000
"7810",3,2.0000
"9000",3,386.0000
"9200",3,9.0000
"9311",3,97.0000
"9312",3,1.0000
"9319",3,11.0000
"9321",3,12.0000
"9329",3,12.0000
"9521",3,9.0000
"9522",3,20.0000
"9523",3,1.0000
"9524",3,2.0000
"9529",3,8.0000
"9610",3,381.0000
"9620",3,41.0000
"9630",3,88.0000
"4711",4,1164.0000
"4719",4,158.0000
"4721",4,94.0000
"4722",4,5.0000
"4723",4,1.0000
"4741",4,123.0000
"4742",4,6.0000
"4751",4,21.0000
"4752",4,484.0000
"4753",4,3.0000
"4759",4,281.0000
"4761",4,52.0000
"4763",4,31.0000
"4764",4,7.0000
"4769",4,15.0000
"4771",4,37.0000
"4772",4,83.0000
"4773",4,172.0000
"4774",4,12.0000
"4791",4,7.0000
"4799",4,21.0000
"5510",4,755.0000
"5520",4,1.0000
"5590",4,18.0000
"5610",4,1200.0000
"5621",4,48.0000
"5629",4,6.0000
"5630",4,76.0000
"5911",4,24.0000
"5912",4,5.0000
"5914",4,22.0000
"5920",4,4.0000
"6010",4,3.0000
"6020",4,5.0000
"6391",4,3.0000
"7721",4,2.0000
"7722",4,1.0000
"7729",4,7.0000
"7810",4,1.0000
"9000",4,194.0000
"9311",4,48.0000
"9312",4,2.0000
"9319",4,6.0000
"9321",4,5.0000
"9329",4,11.0000
"9521",4,2.0000
"9522",4,9.0000
"9529",4,2.0000
"9610",4,94.0000
"9620",4,22.0000
"9630",4,28.0000
"4711",5,251.0000
"4719",5,65.0000
"4721",5,44.0000
"4722",5,6.0000
"4723",5,1.0000
"4741",5,32.0000
"4742",5,5.0000
"4751",5,6.0000
"4752",5,251.0000
"4753",5,3.0000
"4759",5,111.0000
"4761",5,16.0000
"4762",5,1.0000
"4763",5,9.0000
"4764",5,1.0000
"4769",5,11.0000
"4771",5,16.0000
"4772",5,21.0000
"4773",5,46.0000
"4774",5,6.0000
"4799",5,6.0000
"5510",5,520.0000
"5590",5,27.0000
"5610",5,551.0000
"5621",5,9.0000
"5629",5,2.0000
"5630",5,37.0000
"5911",5,13.0000
"5912",5,1.0000
"5914",5,10.0000
"6020",5,1.0000
"6391",5,2.0000
"7729",5,2.0000
"9000",5,86.0000
"9200",5,1.0000
"9311",5,12.0000
"9312",5,11.0000
"9319",5,1.0000
"9329",5,7.0000
"9521",5,4.0000
"9522",5,2.0000
"9523",5,1.0000
"9524",5,1.0000
"9610",5,44.0000
"9620",5,20.0000
"9630",5,8.0000
"4711",6,124.0000
"4719",6,75.0000
"4721",6,35.0000
"4722",6,6.0000
"4741",6,21.0000
"4742",6,3.0000
"4751",6,5.0000
"4752",6,205.0000
"4753",6,2.0000
"4759",6,87.0000
"4761",6,24.0000
"4763",6,11.0000
"4769",6,3.0000
"4771",6,9.0000
"4772",6,25.0000
"4773",6,38.0000
"4774",6,2.0000
"4791",6,4.0000
"4799",6,8.0000
"5510",6,306.0000
"5590",6,9.0000
"5610",6,327.0000
"5621",6,10.0000
"5629",6,1.0000
"5630",6,17.0000
"5911",6,15.0000
"5912",6,3.0000
"5914",6,6.0000
"6020",6,4.0000
"7721",6,3.0000
"7722",6,1.0000
"7729",6,3.0000
"9000",6,69.0000
"9311",6,17.0000
"9319",6,2.0000
"9329",6,3.0000
"9521",6,2.0000
"9522",6,1.0000
"9529",6,1.0000
"9610",6,29.0000
"9620",6,3.0000
"9630",6,9.0000
"4711",7,206.0000
"4719",7,102.0000
"4721",7,39.0000
"4722",7,5.0000
"4741",7,55.0000
"4742",7,5.0000
"4751",7,11.0000
"4752",7,232.0000
"4759",7,139.0000
"4761",7,36.0000
"4763",7,11.0000
"4764",7,2.0000
"4769",7,6.0000
"4771",7,19.0000
"4772",7,41.0000
"4773",7,68.0000
"4774",7,3.0000
"4791",7,9.0000
"4799",7,2.0000
"5510",7,550.0000
"5590",7,12.0000
"5610",7,429.0000
"5621",7,7.0000
"5629",7,5.0000
"5630",7,25.0000
"5911",7,19.0000
"5912",7,1.0000
"5914",7,14.0000
"5920",7,2.0000
"6020",7,4.0000
"6391",7,1.0000
"7722",7,1.0000
"7729",7,8.0000
"9000",7,52.0000
"9200",7,1.0000
"9311",7,25.0000
"9321",7,4.0000
"9329",7,4.0000
"9521",7,2.0000
"9522",7,2.0000
"9524",7,2.0000
"9610",7,22.0000
"9620",7,16.0000
"9630",7,9.0000
"4711",8,123.0000
"4719",8,123.0000
"4721",8,34.0000
"4722",8,4.0000
"4741",8,19.0000
"4742",8,1.0000
"4751",8,3.0000
"4752",8,171.0000
"4753",8,3.0000
"4759",8,76.0000
"4761",8,15.0000
"4763",8,2.0000
"4769",8,6.0000
