tsic,big_n1,n1,np1,npp1,big_np1,w1,blank1,big_n2,n2,np2,npp2,big_np2,w2,blank2,big_n3,n3,np3,npp3,big_np3,w3,blank3,big_n4,n4,np4,npp4,big_np4,w4,blank4,big_n5,n5,np5,npp5,big_np5,w5,blank5,big_n6,n6,np6,npp6,big_np6,w6,blank6,big_n7,n7,np7,npp7,big_np7,w7,blank7,big_n8,n8,np8,npp8,big_np8,w8,blank8,big_n9,n9,np9,npp9,big_np9,w9,blank9,big_n10,n10,np10,npp10,big_np10,w10,blank10,big_n11,n11,np11,npp11,big_np11,w11,blank11,big_n12,n12,np12,npp12,big_np12,w12,blank12
4711,416905.0000,32.0000,66.0000,34.0000,416939.0000,6317.2576,,9221.0000,9.0000,16.0000,7.0000,9228.0000,576.7500,,5826.0000,12.0000,30.0000,18.0000,5844.0000,194.8000,,1164.0000,9.0000,10.0000,1.0000,1165.0000,116.5000,,251.0000,13.0000,7.0000,-6.0000,245.0000,35.0000,,124.0000,12.0000,5.0000,-7.0000,117.0000,23.4000,,206.0000,13.0000,10.0000,-3.0000,203.0000,20.3000,,123.0000,12.0000,32.0000,20.0000,143.0000,4.4688,,139.0000,37.0000,17.0000,-20.0000,119.0000,7.0000,,36.0000,12.0000,4.0000,-8.0000,28.0000,7.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,3.0000,3.0000,2.0000,-1.0000,2.0000,1.0000,
4719,100112.0000,27.0000,50.0000,23.0000,100135.0000,2002.7000,,1744.0000,20.0000,15.0000,-5.0000,1739.0000,115.9333,,464.0000,18.0000,7.0000,-11.0000,453.0000,64.7143,,158.0000,16.0000,11.0000,-5.0000,153.0000,13.9091,,65.0000,11.0000,4.0000,-7.0000,58.0000,14.5000,,75.0000,7.0000,6.0000,-1.0000,74.0000,12.3333,,102.0000,9.0000,8.0000,-1.0000,101.0000,12.6250,,123.0000,7.0000,10.0000,3.0000,126.0000,12.6000,,70.0000,24.0000,12.0000,-12.0000,58.0000,4.8333,,25.0000,7.0000,6.0000,-1.0000,24.0000,4.0000,,3.0000,1.0000,1.0000,0.0000,3.0000,3.0000,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,
4721,37528.0000,25.0000,43.0000,18.0000,37546.0000,873.1628,,1389.0000,20.0000,24.0000,4.0000,1393.0000,58.0417,,301.0000,16.0000,11.0000,-5.0000,296.0000,26.9091,,94.0000,13.0000,8.0000,-5.0000,89.0000,11.1250,,44.0000,11.0000,7.0000,-4.0000,40.0000,5.7143,,35.0000,7.0000,5.0000,-2.0000,33.0000,6.6000,,39.0000,9.0000,12.0000,3.0000,42.0000,3.5000,,34.0000,8.0000,6.0000,-2.0000,32.0000,5.3333,,12.0000,3.0000,2.0000,-1.0000,11.0000,5.5000,,6.0000,1.0000,1.0000,0.0000,6.0000,6.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,
4722,6187.0000,23.0000,25.0000,2.0000,6189.0000,247.5600,,190.0000,17.0000,9.0000,-8.0000,182.0000,20.2222,,30.0000,7.0000,8.0000,1.0000,31.0000,3.8750,,5.0000,2.0000,3.0000,1.0000,6.0000,2.0000,,6.0000,2.0000,1.0000,-1.0000,5.0000,5.0000,,6.0000,2.0000,2.0000,0.0000,6.0000,3.0000,,5.0000,2.0000,2.0000,0.0000,5.0000,2.5000,,4.0000,3.0000,0.0000,-3.0000,1.0000,9999.9999,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
4723,67.0000,17.0000,15.0000,-2.0000,65.0000,4.3333,,4.0000,2.0000,3.0000,1.0000,5.0000,1.6667,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,1.0000,1.0000,0.0000,-1.0000,0.0000,0.0000,,1.0000,0.0000,1.0000,1.0000,2.0000,2.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
4741,18127.0000,50.0000,68.0000,18.0000,18145.0000,266.8382,,1554.0000,25.0000,31.0000,6.0000,1560.0000,50.3226,,258.0000,27.0000,23.0000,-4.0000,254.0000,11.0435,,123.0000,20.0000,14.0000,-6.0000,117.0000,8.3571,,32.0000,11.0000,8.0000,-3.0000,29.0000,3.6250,,21.0000,6.0000,4.0000,-2.0000,19.0000,4.7500,,55.0000,11.0000,9.0000,-2.0000,53.0000,5.8889,,19.0000,7.0000,9.0000,2.0000,21.0000,2.3333,,5.0000,1.0000,3.0000,2.0000,7.0000,2.3333,,1.0000,1.0000,0.0000,-1.0000,0.0000,0.0000,,2.0000,1.0000,1.0000,0.0000,2.0000,2.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
4742,1622.0000,21.0000,24.0000,3.0000,1625.0000,67.7083,,104.0000,11.0000,15.0000,4.0000,108.0000,7.2000,,15.0000,6.0000,3.0000,-3.0000,12.0000,4.0000,,6.0000,3.0000,3.0000,0.0000,6.0000,2.0000,,5.0000,2.0000,3.0000,1.0000,6.0000,2.0000,,3.0000,2.0000,1.0000,-1.0000,2.0000,2.0000,,5.0000,4.0000,2.0000,-2.0000,3.0000,1.5000,,1.0000,1.0000,0.0000,-1.0000,0.0000,0.0000,,2.0000,1.0000,2.0000,1.0000,3.0000,1.5000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
4751,4766.0000,75.0000,101.0000,26.0000,4792.0000,47.4455,,155.0000,31.0000,17.0000,-14.0000,141.0000,8.2941,,32.0000,20.0000,9.0000,-11.0000,21.0000,2.3333,,21.0000,12.0000,5.0000,-7.0000,14.0000,2.8000,,6.0000,5.0000,1.0000,-4.0000,2.0000,2.0000,,5.0000,3.0000,2.0000,-1.0000,4.0000,2.0000,,11.0000,4.0000,4.0000,0.0000,11.0000,2.7500,,3.0000,2.0000,1.0000,-1.0000,2.0000,2.0000,,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
4752,21432.0000,110.0000,155.0000,45.0000,21477.0000,138.5613,,6039.0000,86.0000,90.0000,4.0000,6043.0000,67.1444,,1255.0000,67.0000,60.0000,-7.0000,1248.0000,20.8000,,484.0000,52.0000,44.0000,-8.0000,476.0000,10.8182,,251.0000,36.0000,27.0000,-9.0000,242.0000,8.9630,,205.0000,41.0000,27.0000,-14.0000,191.0000,7.0741,,232.0000,30.0000,30.0000,0.0000,232.0000,7.7333,,171.0000,25.0000,26.0000,1.0000,172.0000,6.6154,,98.0000,34.0000,33.0000,-1.0000,97.0000,2.9394,,22.0000,6.0000,9.0000,3.0000,25.0000,2.7778,,2.0000,1.0000,1.0000,0.0000,2.0000,2.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
4753,1202.0000,17.0000,20.0000,3.0000,1205.0000,60.2500,,55.0000,10.0000,9.0000,-1.0000,54.0000,6.0000,,16.0000,4.0000,3.0000,-1.0000,15.0000,5.0000,,3.0000,1.0000,1.0000,0.0000,3.0000,3.0000,,3.0000,1.0000,2.0000,1.0000,4.0000,2.0000,,2.0000,2.0000,0.0000,-2.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,3.0000,3.0000,2.0000,-1.0000,2.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
